사건번호,교차시간,피크시간,금천_총강수량,가덕_총강수량,금천_최대시간강수량,가덕_최대시간강수량,강수량_비율,강수_집중도_금천,강수_집중도_가덕,동시_상관계수,최대_교차상관,최적_시간지연_시간,강우시작_시간차_시간
1,2016-07-04 06:00:00,2016-07-04 10:00:00,147.0,196.5,30.0,30.5,0.7480916030534351,0.5960884353741497,0.5986494421608926,0.7207860532000488,0.8699866379772434,1,-1.0
2,2016-07-04 22:00:00,2016-07-04 23:00:00,188.0,217.5,30.0,30.5,0.864367816091954,0.5816869300911854,0.5559812686249468,0.6519362698020142,0.6967728593246789,1,1.0
3,2017-07-09 21:00:00,2017-07-09 21:00:00,71.5,73.0,31.5,18.5,0.9794520547945206,0.6101398601398601,0.5415525114155251,0.7024828869022193,0.7024828869022188,0,1.0
4,2017-07-16 08:00:00,2017-07-16 11:00:00,274.0,59.5,80.0,38.5,4.605042016806722,0.47308394160583944,0.7111344537815126,0.5137196865450857,0.7259872816349827,-1,9.0
5,2018-07-02 01:00:00,2018-07-02 07:00:00,169.0,139.5,21.5,15.0,1.2114695340501793,0.4497041420118344,0.4833109318996416,0.8744763412363037,0.8744763412363046,0,1.0
6,2018-07-02 05:00:00,2018-07-02 07:00:00,169.0,139.0,21.5,15.0,1.2158273381294964,0.4497041420118344,0.4720352750058018,0.8701952376809694,0.8701952376809702,0,0.0
7,2018-09-03 20:00:00,2018-09-03 23:00:00,198.5,111.0,56.0,18.5,1.7882882882882882,0.5115449202350966,0.4553014553014553,0.8978320624135895,0.897832062413591,0,0.0
8,2020-07-24 09:00:00,2020-07-24 09:00:00,52.0,58.0,10.5,8.5,0.896551724137931,0.5075250836120402,0.4955022488755622,0.62696318136994,0.757805920286619,1,1.0
9,2020-07-30 05:00:00,2020-07-30 09:00:00,103.0,164.5,17.0,22.5,0.6261398176291794,0.4774414620217019,0.39942785624888255,0.6350591201022375,0.635059120102238,0,0.0
10,2020-07-30 07:00:00,2020-07-30 09:00:00,82.0,150.0,17.0,22.5,0.5466666666666666,0.5170731707317073,0.3862222222222222,0.6701197987838113,0.6701197987838114,0,0.0
11,2020-08-02 01:00:00,2020-08-02 03:00:00,30.5,67.0,12.0,25.5,0.4552238805970149,0.546448087431694,0.5731343283582089,0.5093956303030092,0.7259644254186907,-1,1.0
12,2020-08-28 21:00:00,2020-08-28 21:00:00,95.0,90.5,45.5,42.0,1.0497237569060773,0.6631578947368422,0.6249232658072437,0.21316628514714822,0.9348303336409549,2,0.0
13,2020-09-03 05:00:00,2020-09-03 07:00:00,82.5,106.0,14.5,11.5,0.7783018867924528,0.5316017316017316,0.4782608695652174,0.9097537511296047,0.9097537511296053,0,1.0
14,2021-09-01 08:00:00,2021-09-01 09:00:00,47.5,48.0,10.0,16.5,0.9895833333333334,0.5311740890688259,0.5,0.8803230011780373,0.880323001178037,0,2.0
15,2022-08-10 13:00:00,2022-08-10 21:00:00,291.0,225.0,40.5,32.0,1.2933333333333332,0.5553871032949262,0.5551746031746032,0.8006725502640347,0.800672550264035,0,-1.0
16,2022-08-10 20:00:00,2022-08-10 21:00:00,291.0,225.0,40.5,32.0,1.2933333333333332,0.5553871032949262,0.5551746031746032,0.790104852823866,0.7901048528238664,0,-1.0
17,2022-08-11 09:00:00,2022-08-11 10:00:00,237.5,159.5,40.5,32.0,1.4890282131661443,0.5909255898366605,0.5921915075520091,0.8242116086313762,0.824211608631376,0,0.0
18,2022-09-06 06:00:00,2022-09-06 06:00:00,105.0,84.0,10.5,8.5,1.25,0.39542857142857146,0.40285714285714286,0.955333932891311,0.9553339328913126,0,-1.0
19,2023-07-10 07:00:00,2023-07-10 08:00:00,34.0,52.5,18.5,32.5,0.6476190476190476,0.3333333333333333,0.30476190476190473,0.9360731008428144,0.9360731008428174,0,0.0
20,2023-07-14 05:00:00,2023-07-15 04:00:00,416.0,458.0,32.5,27.0,0.9082969432314411,0.5545891608391609,0.5110787643538734,0.90272787838128,0.9027278783812793,0,3.0
21,2023-07-18 13:00:00,2023-07-18 16:00:00,78.5,84.0,17.0,15.0,0.9345238095238095,0.5343613811599062,0.5023809523809524,0.9570814790272638,0.9570814790272657,0,1.0
22,2023-08-10 08:00:00,2023-08-10 16:00:00,151.0,148.0,12.5,11.5,1.0202702702702702,0.43878902554399246,0.47005113221329436,0.876245654921678,0.9159619182809237,1,0.0
23,2023-08-24 02:00:00,2023-08-24 02:00:00,107.5,80.5,17.5,16.0,1.3354037267080745,0.5359408033826638,0.46204278812974464,0.7412796538881103,0.7412796538881098,0,-2.0
24,2023-09-16 08:00:00,2023-09-16 09:00:00,149.5,95.5,35.5,31.5,1.5654450261780104,0.6587036152253544,0.6784238082116285,0.8934569962805723,0.8934569962805721,0,0.0
25,2023-09-16 17:00:00,2023-09-16 17:00:00,146.5,91.0,35.5,31.5,1.60989010989011,0.6103192130094358,0.6334379905808477,0.8952237579076104,0.8952237579076108,0,0.0
26,2023-09-20 19:00:00,2023-09-20 20:00:00,62.0,73.0,9.5,11.0,0.8493150684931506,0.4526881720430108,0.4597602739726028,0.9338616994328314,0.951317565391561,-1,0.0
