사건번호,1차_패턴,금천_최대상관,금천_최적지연,금천_총강수량,가덕_최대상관,가덕_최적지연,가덕_총강수량,주도_관측소,주도_상관계수,주도_지연시간,상관계수_차이,반응시간_차이,최대수위,수위상승량
1,동시강우,0.6430472914179741,4,147.0,0.6531654029879295,4,196.5,가덕,0.6531654029879295,4,0.010118111569955346,0,3.15,2.44
2,비정형,0.598770461035174,4,188.0,0.6777768606879011,4,217.5,가덕,0.6777768606879011,4,0.07900639965272716,0,3.15,2.44
3,동시강우,0.5498337424798656,1,71.5,0.34391811766284885,4,73.0,금천,0.5498337424798656,1,0.20591562481701675,3,2.45,1.4000000000000001
4,집중강우,0.7455881452604124,2,274.0,0.5682523186656874,2,59.5,금천,0.7455881452604124,2,0.17733582659472502,0,5.52,4.72
5,동시강우,0.5708187277593666,1,169.0,0.41668121487434134,1,139.5,금천,0.5708187277593666,1,0.15413751288502525,0,2.56,1.8900000000000001
6,동시강우,0.5668592796885841,1,169.0,0.38209688484432514,1,139.0,금천,0.5668592796885841,1,0.18476239484425894,0,2.56,1.8900000000000001
7,동시강우,0.6944891452246965,2,198.5,0.740273886735889,4,111.0,가덕,0.740273886735889,4,0.045784741511192495,2,4.02,3.2399999999999993
8,비정형,0.5620528596956961,1,52.0,0.45212384931916166,2,58.0,금천,0.5620528596956961,1,0.10992901037653441,1,2.61,1.4999999999999998
9,비정형,0.5263426829405561,6,103.0,0.7413378898676796,4,164.5,가덕,0.7413378898676796,4,0.21499520692712348,2,3.22,1.9200000000000002
10,비정형,0.5496127371113027,6,82.0,0.7559141926132361,4,150.0,가덕,0.7559141926132361,4,0.20630145550193346,2,3.22,1.9200000000000002
11,집중강우,0.659944925833655,3,30.5,0.61279539933494,4,67.0,금천,0.659944925833655,3,0.047149526498715066,1,3.39,2.42
12,지연강우,0.6887490960806688,1,95.0,0.7126010882105375,3,90.5,가덕,0.7126010882105375,3,0.02385199212986866,2,2.9,2.09
13,동시강우,0.6150645290104667,3,82.5,0.7709266532328133,5,106.0,가덕,0.7709266532328133,5,0.15586212422234658,2,3.04,2.3
14,동시강우,0.7424596764907829,5,47.5,0.6154811397233978,2,48.0,금천,0.7424596764907829,5,0.12697853676738513,3,2.55,1.8199999999999998
15,동시강우,0.5837927707074213,2,291.0,0.4908214509344108,1,225.0,금천,0.5837927707074213,2,0.09297131977301049,1,4.08,3.4
16,동시강우,0.5713773557945275,2,291.0,0.4487643330450569,1,225.0,금천,0.5713773557945275,2,0.12261302274947061,1,4.08,3.4
17,동시강우,0.7108221482253284,2,237.5,0.6154774132868676,1,159.5,금천,0.7108221482253284,2,0.09534473493846085,1,4.08,2.59
18,동시강우,0.7930585716352362,6,105.0,0.8156779071488308,7,84.0,가덕,0.8156779071488308,7,0.02261933551359463,1,2.46,1.67
19,동시강우,0.5643654443126046,2,34.0,0.57003284994789,2,52.5,가덕,0.57003284994789,2,0.00566740563528545,0,2.7,1.9000000000000001
20,동시강우,0.7481330427719265,2,416.0,0.7719227997009658,3,458.0,가덕,0.7719227997009658,3,0.023789756929039285,1,5.45,4.62
21,동시강우,0.7311231966124969,3,78.5,0.7331313730472442,3,84.0,가덕,0.7331313730472442,3,0.0020081764347472664,0,3.28,2.1399999999999997
22,동시강우,0.7428268695830517,4,151.0,0.7679443115373312,9,148.0,가덕,0.7679443115373312,9,0.025117441954279562,5,2.68,1.9900000000000002
23,동시강우,0.5426265632520266,1,107.5,0.5612214830794959,1,80.5,가덕,0.5612214830794959,1,0.018594919827469303,0,2.49,1.8000000000000003
24,동시강우,0.628157113612732,1,149.5,0.5836421139613822,1,95.5,금천,0.628157113612732,1,0.04451499965134975,0,3.28,2.51
25,동시강우,0.643565663845741,1,146.5,0.6106708827530982,1,91.0,금천,0.643565663845741,1,0.032894781092642766,0,3.28,2.4899999999999998
26,동시강우,0.8102285989837583,4,62.0,0.8133013585143879,4,73.0,가덕,0.8133013585143879,4,0.0030727595306295763,0,2.64,2.02
